cam-altitude,cam-heading,cam-latitude,cam-longitude,cam-pitch,cam-roll,cam-yaw,corrected-x,corrected-y,id,image-name,image-time,type,x,y,
0,301.488,48.506660738959916,-71.63022841885686,0,0,0,48.506706209102376,-71.63014638430393,447,images/img447.jpg,14:41:38,1,0.9277777777777778,0.6814814814814815,
0,297.272,48.50694118067622,-71.63102498464286,0,0,0,48.50684034572632,-71.63098627535857,461,images/img461.jpg,14:41:45,1,0.8736111111111111,0.8537037037037037,
0,300.226,48.507200265303254,-71.63150478154421,0,0,0,48.50721240672564,-71.63151911608755,472,images/img472.jpg,14:41:50,1,0.5534722222222223,0.5981481481481481,
0,300.226,48.507200265303254,-71.63150478154421,0,0,0,48.507293149764784,-71.6314352679789,472,images/img472.jpg,14:41:50,1,0.9895833333333334,0.27037037037037037,
0,300.226,48.507200265303254,-71.63150478154421,0,0,0,48.507293713731755,-71.63148794777607,472,images/img472.jpg,14:41:50,1,0.96875,0.5120370370370371,
0,300.226,48.507200265303254,-71.63150478154421,0,0,0,48.507281437100765,-71.63152414770481,472,images/img472.jpg,14:41:50,1,0.8854166666666666,0.6805555555555556,
0,300.226,48.507200265303254,-71.63150478154421,0,0,0,48.50719924382333,-71.63156703400384,472,images/img472.jpg,14:41:50,1,0.4263888888888889,0.8287037037037037,
0,289.358,48.50728698447347,-71.6317058801651,0,0,0,48.50729621551613,-71.63160837680259,478,images/img478.jpg,14:41:53,1,0.9368055555555556,0.6981481481481482,
0,289.358,48.50728698447347,-71.6317058801651,0,0,0,48.507308212175886,-71.6316198179561,478,images/img478.jpg,14:41:53,1,0.8743055555555556,0.7416666666666667,
0,300.782,48.50748305395245,-71.63213023915887,0,0,0,48.507592010521094,-71.63209958572398,490,images/img490.jpg,14:41:59,1,0.9701388888888889,0.7481481481481481,
0,306.066,48.507530830800526,-71.63220686651766,0,0,0,48.507512547457466,-71.63221946652037,493,images/img493.jpg,14:42:01,2,0.4125,0.5981481481481481,
0,306.066,48.507530830800526,-71.63220686651766,0,0,0,48.50757199872976,-71.63219952082136,493,images/img493.jpg,14:42:01,2,0.7180555555555556,0.40370370370370373,
0,306.932,48.50756861642003,-71.63226709887385,0,0,0,48.5075923144002,-71.63230484436257,495,images/img495.jpg,14:42:02,1,0.48333333333333334,0.7518518518518519,
0,306.932,48.50756861642003,-71.63226709887385,0,0,0,48.507661827618215,-71.63226069018073,495,images/img495.jpg,14:42:02,3,0.8930555555555556,0.7453703703703703,
0,295.25,48.50772804021835,-71.63264192081988,0,0,0,48.50775916883322,-71.63261868875574,505,images/img505.jpg,14:42:07,2,0.64375,0.6703703703703704,
0,312.414,48.507969237864025,-71.63330043666065,0,0,0,48.507942908258066,-71.63332273898675,524,images/img524.jpg,14:42:16,3,0.37222222222222223,0.6537037037037037,
0,312.414,48.507969237864025,-71.63330043666065,0,0,0,48.508018033424825,-71.6333273083053,524,images/img524.jpg,14:42:16,1,0.7902777777777777,0.5990740740740741,
0,300.886,48.50805407948792,-71.63356255553663,0,0,0,48.508137693498156,-71.63350161232029,531,images/img531.jpg,14:42:20,1,0.9854166666666667,0.6157407407407407,
0,300.886,48.50805407948792,-71.63356255553663,0,0,0,48.50816412574788,-71.63351982690003,531,images/img531.jpg,14:42:20,1,0.9819444444444444,0.7592592592592593,
0,296.134,48.50810173898935,-71.63376338593662,0,0,0,48.507973450211516,-71.63374946320593,536,images/img536.jpg,14:42:22,1,0.9666666666666667,0.1537037037037037,
0,292.842,48.50812453776598,-71.6338872872293,0,0,0,48.50809686839982,-71.63390907653054,539,images/img539.jpg,14:42:24,1,0.4986111111111111,0.7037037037037037,
0,290.724,48.50814212299883,-71.63396951369941,0,0,0,48.50805604292492,-71.63403028057093,541,images/img541.jpg,14:42:25,1,0.9465277777777777,0.26296296296296295,
0,290.724,48.50814212299883,-71.63396951369941,0,0,0,48.5080473855987,-71.63400034542354,541,images/img541.jpg,14:42:25,1,0.9770833333333333,0.40925925925925927,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.50807446583705,-71.63417126323148,545,images/img545.jpg,14:42:27,1,0.9597222222222223,0.45740740740740743,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.508072455569746,-71.63415851403629,545,images/img545.jpg,14:42:27,1,0.9555555555555556,0.5212962962962963,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.5080849238699,-71.6341409339502,545,images/img545.jpg,14:42:27,1,0.8888888888888888,0.5944444444444444,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.50807159233082,-71.63410904504282,545,images/img545.jpg,14:42:27,1,0.89375,0.7583333333333333,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.50804780370701,-71.6341083596248,545,images/img545.jpg,14:42:27,1,0.9756944444444444,0.7731481481481481,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.50820750567745,-71.63406275957115,545,images/img545.jpg,14:42:27,1,0.18263888888888888,0.8175925925925925,
0,284.566,48.50816198810934,-71.63413988426328,0,0,0,48.50818928001815,-71.63403528723302,545,images/img545.jpg,14:42:27,1,0.25,0.95,
0,289.564,48.50820151716471,-71.63430427014828,0,0,0,48.50824964373217,-71.63423224547788,549,images/img549.jpg,14:42:29,1,0.6881944444444444,0.8953703703703704,
0,289.564,48.50820151716471,-71.63430427014828,0,0,0,48.50822465971512,-71.63419127479884,549,images/img549.jpg,14:42:29,1,0.8979166666666667,0.8629629629629629,
